removal_step,stage,event_type,pruning_iteration,cells_removed,area_removed_km2,cum_cells_removed,cum_area_removed_km2,cum_prop_cells_removed,cum_prop_area_removed,cells_retained,area_retained_km2
1855,19,prune,30,1000,90.2166722746042,1833279,164204.324430275,0.859720016844759,0.858139163313215,299135,27144.9711738244
1856,19,prune,31,1000,90.191973134451,1834279,164294.516403409,0.8601889689338,0.858610510609529,298135,27054.7792006899
1857,19,prune,32,1000,90.1806988143581,1835279,164384.697102224,0.860657921022841,0.85908179898574,297135,26964.5985018756
1858,19,prune,33,1000,90.164239412403,1836279,164474.861341636,0.861126873111882,0.859553001344378,296135,26874.4342624632
1859,19,prune,34,1000,90.1536115422647,1837279,164565.014953178,0.861595825200923,0.86002414816129,295135,26784.2806509209
1860,19,prune,35,1000,90.0840493486893,1838279,164655.099002527,0.862064777289963,0.860494931443059,294135,26694.1966015722
1861,19,prune,36,1000,90.087509883342,1839279,164745.18651241,0.862533729379004,0.860965732809737,293135,26604.1090916889
1862,19,prune,37,1000,89.9982454270147,1840279,164835.184757837,0.863002681468045,0.861436067676364,292135,26514.1108462618
1863,19,prune,38,1000,89.9862965531069,1841279,164925.17105439,0.863471633557086,0.861906340097639,291135,26424.1245497087
1864,19,prune,39,1000,89.9600133526266,1842279,165015.131067743,0.863940585646127,0.862376475161731,290135,26334.1645363561
1865,19,prune,40,1000,90.1380664138687,1843279,165105.269134157,0.864409537735168,0.862847540739105,289135,26244.0264699422
1866,19,prune,41,1000,90.1841870310842,1844279,165195.453321188,0.864878489824209,0.863318847344893,288135,26153.8422829112
1867,19,prune,42,1000,90.1059021994069,1845279,165285.559223387,0.86534744191325,0.863789744830639,287135,26063.7363807118
1868,19,prune,43,1000,89.7107648592216,1846279,165375.269988247,0.86581639400229,0.864258577310926,286135,25974.0256158525
1869,19,prune,44,1000,90.2733932689103,1847279,165465.543381516,0.866285346091331,0.864730350112514,285135,25883.7522225836
1870,19,prune,45,1000,90.0622426052805,1848279,165555.605624121,0.866754298180372,0.865201019431264,284135,25793.6899799783
1871,19,prune,46,1003,90.0242238537084,1849282,165645.629847974,0.86722465712568,0.865671490062313,283132,25703.6657561246
1872,19,prune,47,1000,89.5707887723296,1850282,165735.200636747,0.867693609214721,0.866139591021293,282132,25614.0949673523
1873,19,prune,48,1000,89.4492682488934,1851282,165824.649904996,0.868162561303762,0.866607056908567,281132,25524.6456991034
1874,19,prune,49,1000,90.1130216161798,1852282,165914.762926612,0.868631513392803,0.867077991600705,280132,25434.5326774872
1875,19,prune,50,1000,89.6155436252205,1853282,166004.378470237,0.869100465481844,0.867546326450553,279132,25344.917133862
1876,19,prune,51,1001,90.3774545829217,1854283,166094.75592482,0.869569886522974,0.868018643081234,278131,25254.5396792791
1877,19,prune,52,1011,89.8188498353354,1855294,166184.574774655,0.870043997084994,0.868488040418453,277120,25164.7208294437
1878,19,prune,53,1007,90.3074331616095,1856301,166274.882207817,0.870516231838658,0.868959991114046,276113,25074.4133962821
1879,19,prune,54,1001,89.5239312321255,1857302,166364.406139049,0.870985652879788,0.869427847193419,275112,24984.88946505
1880,19,prune,55,1013,90.3147259225044,1858315,166454.720864972,0.871460701345986,0.869899836001308,274099,24894.5747391275
1881,19,prune,56,1000,89.6632224739436,1859315,166544.384087446,0.871929653435027,0.870368420022957,273099,24804.9115166536
1882,19,prune,57,1006,90.0241506719465,1860321,166634.408238117,0.872401419236602,0.870838890271556,272093,24714.8873659816
1883,19,prune,58,1004,89.5906088136407,1861325,166723.998846931,0.872872247133999,0.87130709481096,271089,24625.296757168
1884,19,prune,59,1001,89.3726709127294,1862326,166813.371517844,0.873341668175129,0.87177416039712,270088,24535.9240862553
1885,19,prune,60,1007,89.9922570179128,1863333,166903.363774862,0.873813902928793,0.872244463968052,269081,24445.9318292373
1886,19,prune,61,1002,89.7008426283789,1864335,166993.06461749,0.874283792922012,0.872713244594316,268079,24356.230986609
1887,19,prune,62,1002,89.5707779739633,1865337,167082.635395464,0.874753682915231,0.873181345496862,267077,24266.660208635
1888,19,prune,63,1033,91.7327380019313,1866370,167174.368133466,0.875238110423211,0.87366074489947,266044,24174.9274706331
1889,19,prune,64,1000,90.3840889038749,1867370,167264.75222237,0.875707062512251,0.87413309620141,265044,24084.5433817292
1890,19,prune,65,1000,90.6912597207854,1868370,167355.443482091,0.876176014601292,0.874607052791814,264044,23993.8521220084
1891,19,prune,66,1012,91.8843944518797,1869382,167447.327876543,0.876650594115402,0.87508724475783,263032,23901.9677275565
1892,19,prune,67,1000,90.5298159266115,1870382,167537.857692469,0.877119546204443,0.875560357635726,262032,23811.4379116299
1893,19,prune,68,1001,90.9070446054252,1871383,167628.764737075,0.877588967245572,0.876035441927614,261031,23720.5308670245
1894,19,prune,69,1000,90.5894436512268,1872383,167719.354180726,0.878057919334613,0.876508866422673,260031,23629.9414233733
1895,19,prune,70,1000,90.4702948721312,1873383,167809.824475598,0.878526871423654,0.876981668240869,259031,23539.4711285011
1896,19,prune,71,1002,90.203116078133,1874385,167900.027591676,0.878996761416873,0.877453073770706,258029,23449.268012423
1897,19,prune,72,1001,91.6607292554707,1875386,167991.688320932,0.879466182458003,0.877932096852375,257028,23357.6072831675
1898,19,prune,73,1000,91.2014204066655,1876386,168082.889741338,0.879935134547044,0.878408719565402,256028,23266.4058627609
1899,19,prune,74,1000,90.7882013679541,1877386,168173.677942706,0.880404086636085,0.878883182777202,255028,23175.6176613929
1900,19,prune,75,1000,91.3488707318657,1878386,168265.026813438,0.880873038725126,0.879360576072241,254028,23084.268790661
1901,19,prune,76,1000,91.0415233782907,1879386,168356.068336816,0.881341990814167,0.879836363156227,253028,22993.2272672828
1902,19,prune,77,1000,91.1216343296296,1880386,168447.189971146,0.881810942903207,0.880312568903637,252028,22902.1056329531
1903,19,prune,78,1000,91.2562277395065,1881386,168538.446198886,0.882279894992248,0.880789478042244,251028,22810.8494052136
1904,19,prune,79,1000,91.3474356685198,1882386,168629.793634554,0.882748847081289,0.881266863837578,250028,22719.5019695451
1905,19,prune,80,1000,91.0853475033822,1883386,168720.878982057,0.88321779917033,0.881742879948407,249028,22628.4166220417
1906,19,prune,81,1000,90.9912381726082,1884386,168811.87022023,0.883686751259371,0.882218404239653,248028,22537.4253838691
1907,19,prune,82,1000,90.8312850379497,1885386,168902.701505268,0.884155703348412,0.882693092608645,247028,22446.5940988312
1908,19,prune,83,1000,90.4924010488407,1886386,168993.193906317,0.884624655437453,0.883166009954711,246028,22356.1016977823
1909,19,prune,84,1028,93.7380896502816,1887414,169086.931995967,0.885106738184987,0.883655889414964,245000,22262.363608132
1910,19,prune,85,1000,91.309528242343,1888414,169178.241524209,0.885575690274028,0.884133077104389,244000,22171.0540798897
1911,19,prune,86,1000,91.2685179550478,1889414,169269.510042164,0.886044642363068,0.884610050472213,243000,22079.7855619346
1912,19,prune,87,1000,91.3243310806674,1890414,169360.834373245,0.886513594452109,0.885087315521934,242000,21988.461230854
1913,19,prune,88,1000,91.1301728075201,1891414,169451.964546053,0.88698254654115,0.885563565891813,241000,21897.3310580465
1914,19,prune,89,1000,91.3267279892703,1892414,169543.291274042,0.887451498630191,0.886040843467887,240000,21806.0043300572
1915,19,prune,90,1000,90.8545071740075,1893414,169634.145781216,0.887920450719232,0.886515653196802,239000,21715.1498228832
1916,19,prune,91,1009,92.1644919773512,1894423,169726.310273193,0.888393623377074,0.886997308965047,237991,21622.9853309058
1917,19,prune,92,1001,91.3385453519664,1895424,169817.648818545,0.888863044418204,0.887474648299188,236990,21531.6467855539
1918,19,prune,93,1000,91.2323028867246,1896424,169908.881121432,0.889331996507245,0.887951432405441,235990,21440.4144826671
1919,19,prune,94,1000,91.3009179859685,1897424,170000.182039418,0.889800948596286,0.88842857509728,234990,21349.1135646812
1920,19,prune,95,1000,91.3622237267049,1898424,170091.544263145,0.890269900685327,0.888906038175669,233990,21257.7513409545
1921,19,prune,96,1000,91.2513071941613,1899424,170182.795570339,0.890738852774368,0.889382921599285,232990,21166.5000337603
1922,19,prune,97,1000,91.3912452661312,1900424,170274.186815605,0.891207804863408,0.88986053634554,231990,21075.1087884942
1923,19,prune,98,1000,91.3773355555893,1901424,170365.564151161,0.891676756952449,0.890338078399025,230990,20983.7314529386
1924,19,prune,99,1000,91.1842613914322,1902424,170456.748412552,0.89214570904149,0.890814611438269,229990,20892.5471915471
1925,19,prune,100,1000,90.9053851326967,1903424,170547.653797685,0.892614661130531,0.891289687057678,228990,20801.6418064144
1926,19,fragmentation,,11,1.00522413618898,1903435,170548.659021821,0.89261981960351,0.891294940404094,228979,20800.6365822783
1927,20,prune,1,1001,91.1656333990793,1904436,170639.82465522,0.89308924064464,0.891771376092614,227978,20709.4709488792
1928,20,prune,2,1000,91.7812355317125,1905436,170731.605890752,0.893558192733681,0.892251028945487,226978,20617.6897133475
1929,20,prune,3,1000,91.4560952509828,1906436,170823.061986003,0.894027144822722,0.892728982600672,225978,20526.2336180965
1930,20,prune,4,1001,90.7350573058203,1907437,170913.797043308,0.894496565863852,0.89320316807922,224977,20435.4985607907
1931,20,prune,5,1001,88.9789609076262,1908438,171002.776004216,0.894965986904982,0.893668176119238,223976,20346.519599883
1932,20,prune,6,1002,90.8847559813669,1909440,171093.660760197,0.895435876898201,0.894143143929777,222974,20255.6348439017
1933,20,prune,7,1000,91.5535106721115,1910440,171185.21427087,0.895904828987242,0.894621606682321,221974,20164.0813332296
1934,20,prune,8,1000,91.1143389729603,1911440,171276.328609843,0.896373781076283,0.89509777430387,220974,20072.9669942566
1935,20,prune,9,1001,90.1459747758501,1912441,171366.474584618,0.896843202117412,0.895568881210699,219973,19982.8210194807
1936,20,prune,10,1000,91.0190756417024,1913441,171457.49366026,0.897312154206453,0.896044550981807,218973,19891.801943839
1937,20,prune,11,1000,91.4170149089868,1914441,171548.910675169,0.897781106295494,0.896522300401372,217973,19800.3849289301
1938,20,prune,12,1000,91.5532340236638,1915441,171640.463909193,0.898250058384535,0.897000761708139,216973,19708.8316949064
1939,20,prune,13,1000,91.4991375850955,1916441,171731.963046778,0.898719010473576,0.897478940304492,215973,19617.3325573213
1940,20,prune,14,1000,91.6021922263326,1917441,171823.565239004,0.899187962562617,0.897957657469021,214973,19525.730365095
1941,20,prune,15,1000,91.6171858698603,1918441,171915.182424874,0.899656914651658,0.898436452991005,213973,19434.1131792251
1942,20,prune,16,1001,91.709034474433,1919442,172006.891459348,0.900126335692788,0.898915728517914,212972,19342.4041447507
1943,20,prune,17,1000,91.4816470618859,1920442,172098.37310641,0.900595287781828,0.899393815708008,211972,19250.9224976888
1944,20,prune,18,1000,91.6944964925721,1921442,172190.067602903,0.901064239870869,0.899873015258773,210972,19159.2280011962
1945,20,prune,19,1001,91.3247303342618,1922443,172281.392333237,0.901533660911999,0.900350282395011,209971,19067.903270862
1946,20,prune,20,1000,91.6086235626976,1923443,172373.0009568,0.90200261300104,0.900829033169993,208971,18976.2946472993
1947,20,prune,21,1000,91.5551812611273,1924443,172464.556138061,0.902471565090081,0.90130750465311,207971,18884.7394660381
1948,20,prune,22,1000,91.6877443025873,1925443,172556.243882364,0.902940517179122,0.901786668916627,206971,18793.0517217355
1949,20,prune,23,1000,91.4518361134967,1926443,172647.695718477,0.903409469268163,0.902264600313368,205971,18701.599885622
1950,20,prune,24,1000,91.5693498617175,1927443,172739.265068339,0.903878421357204,0.902743145842228,204971,18610.0305357603
1951,20,prune,25,1000,91.6677750368037,1928443,172830.932843376,0.904347373446245,0.903222205745466,203971,18518.3627607235
1952,20,prune,26,1000,91.6931861465793,1929443,172922.626029522,0.904816325535285,0.903701398448303,202971,18426.669574577
